# id	left	top	right	bottom	texture_id
[SPRITES]
#DIRT GROUND
60001	1	1	16	16	50
60002	18	1	33	16	50
60003	35	1	50	16	50

60004	1	18	16	33	50
60005	18	18	33	33	50
60006	35	18	50	33	50

#GRASS GROUND
61001	1	120	16	135	50
61002	18	120	33	135	50
61003	35	120	50	135	50

61004	1	137	16	152	50
61005	18	137	33	152	50
61006	35	137	50	152	50

#WOODEN GROUND
62001	52	120	67	135	50
62002	69	120	84	135	50
62003	86	120	101	135	50

62004	52	137	67	152	50
62005	69	137	84	152	50
62006	86	137	101	152	50
#WOODEN BLOCK
90001	324	171	339	186	30

#BLUE BLOCK
91001	35	52	50	67	50

